id,nome,tipo,hp,attacco,difesa,velocità
001,Bulbasaur,Grass,45,49,49,45  
002,Ivysaur,    Grass,    60,62,63,60
003,Venusaur,   Grass,	  80,82,83,80
004,Charmander,	Fire,	  39,52,43,65	
005,Charmeleon,	Fire,	  58,64,58,80
006,Charizard,	Fire,	  78,84,78,100
007,Squirtle,	Water, 	  44,48,65,43
008,Wartortle,	Water,    59,63,80,58
009,Blastoise,	Water,	  79,83,100,78
010,Caterpie,	Bug,	  45,30,35,45
011,Metapod,	Bug,	  50,20,55,30	
012,Butterfree,	Bug,	  60,45,50,70
013,Weedle,	        Bug,	  40,35,30,50
014,Kakuna,	        Bug,      45,25,50,35
015,Beedrill,	Bug,      65,90,40,75
016,Pidgey,  	Flying,   40,45,40,56
017,Pidgeotto,	Flying,   63,60,55,71
018,Pidgeot,        Flying,   83,80,75,101
019,Rattata,        Normal,   30,56,35,72
020,Raticate,	Normal,   55,81,60,97
021,Spearow,        Flying,   40,60,30,70
022,Fearow,         Flying,   65,90,65,100
023,Ekans,	        Poison,   35,60,44,55
024,Arbok,   	Poison,   60,95,69,80
025,Pikachu,	Electric, 35,55,40,90
026,Raichu, 	Electric, 60,90,55,110
027,Sandshrew,	Ground,   50,75,85,40
028,Sandslash,	Ground,   75,100,110,65
029,Nidoran♀,	Poison,   55,47,52,41
030,Nidorina,	Poison,   70,62,67,56
031,Nidoqueen,	Poison,   90,92,87,76
032,Nidoran♂,	Poison,   46,57,40,50
033,Nidorino,	Poison,   61,72,57,65
034,Nidoking,	Poison,   81,102,77,85
035,Clefairy,	Normal,   70,45,48,35
036,Clefable,	Normal,   95,70,73,60,
037,Vulpix,Fire,38,41,40,65
038,Ninetales,	Fire,     73,76,75,100
039,Jigglypuff,	Normal,   115,45,20,20
040,Wigglytuff,	Normal,   140,70,45,45
041,Zubat,	        Poison,   40,45,35,55
042,Golbat,	        Poison,   75,80,70,90
043,Oddish,	        Grass,    45,50,55,30
044,Gloom,	        Grass,    60,65,70,40
045,Vileplume,	Grass,    75,80,85,50
046,Paras,	        Bug,      35,70,55,25
047,Parasect,	Bug,      60,95,80,30
048,Venonat,        Bug,      60,55,50,45
049,Venomoth,	Bug,      70,65,60,90
050,Diglett,        Ground,   10,55,30,90
051,Dugtrio,        Ground,   35,100,50,120
052,Meowth,	        Normal,   40,45,35,90
053,Persian,        Normal,   65,70,60,115
